PARKINGLOT_NO,NAME,ADDRESS,TEL,LAT,LOG
312,방배1동 공영주차장,서울특별시 서초구 방배로23길 31-6,02-2155-7289,37.486,126.992
313,양재근린공원 공영주차장,서울특별시 서초구 양재동 311,02-2155-7290,37.472,127.042
314,신길7동공영주차장,서울특별시 영등포구 여의대방로45길 18,02-2650-1400,37.508,126.922
315,신길1동공영주차장,서울특별시 영등포구 도신로62길 22,02-2650-1400,37.510,126.919
316,영등포동제3공영주차장,서울특별시 영등포구 영중로 15 (영등포동4가),02-2068-3596,37.517,126.903
317,대림운동장공영주차장,서울특별시 영등포구 도신로4길 32,02-831-3312,37.500,126.895
318,당산근린공원공영주차장,서울특별시 영등포구 당산로27길 12 (당산동3가),02-2633-0298,37.525,126.895
319,영등포여고공영주차장,서울특별시 영등포구 영등포로62길 13 (신길동),02-831-6723,37.515,126.915
320,신길4동1동1마을공원공영주차장,서울특별시 영등포구 신길로40길 5 (신길동),02-845-2911,37.507,126.912
321,대림어린이공원공영주차장,서울특별시 영등포구 대림로 106 (대림동),02-845-5505,37.491,126.903
322,도림초교공영주차장,서울특별시 영등포구 가마산로65길 22 (신길동),02-845-8453,37.508,126.907
323,영등포구청환승공영주차장,서울특별시 영등포구 양산로 111 (당산동3가),02-2068-8916,37.525,126.895
324,신길역사(1호선)공영주차장,서울특별시 영등포구 영등포로 327(신길동),02-831-2399,37.516,126.917
325,신길환승(5호선)공영주차장,서울특별시 영등포구 경인로114가길 9 (영등포동1가),02-2069-2440,37.518,126.915
326,대림3동공영주차장,서울특별시 영등포구 도림로47가길 9(대림동),02-841-6957,37.498,126.900
327,대림2동공영주차장,서울특별시 영등포구 디지털로37나길 21 (대림동),02-831-5796,37.492,126.900
328,대림1동공영주차장,서울특별시 영등포구 대림로22길 2 (대림동),02-831-4287,37.493,126.902
329,신길6동공영주차장,서울특별시 영등포구 신길로40길 5,02-831-9463,37.503,126.911
330,신길4동공영주차장,서울특별시 영등포구 가마산로 502 (신길동),02-843-2798,37.505,126.912
331,영등포본동제2공영주차장,서울특별시 영등포구 신길로60길 34 (신길동),02-831-4938,37.513,126.914
332,양평2동공영주차장,서울특별시 영등포구 선유로 49길27(양평동4가),02-2069-1994,37.536,126.885
333,문래동공영주차장,서울특별시 영등포구 문래동5가3-2,02-2633-0206,37.516,126.887
334,도림동공영주차장,서울특별시 영등포구 도신로15길 36 (도림동),02-845-5524,37.508,126.897
335,당산2동공영주차장,서울특별시 영등포구 버드나루로 111(당산동),02-2671-2049,37.528,126.908
336,당산1동공영주차장,서울특별시 영등포구 양산로 147 (당산동3가),02-2635-2388,37.524,126.899
337,영등포동제2공영주차장,서울특별시 영등포구 버드나루로7길 12-15(영등포동),02-831-4938,37.524,126.909
338,영등포동제1공영주차장,서울특별시 영등포구 영등포로 53길 28(영등포동),02-2671-1787,37.521,126.910
339,영등포본동제1공영주차장,서울특별시 영등포구 영신로10길 15 (영등포동),02-845-2913,37.514,126.909
340,경부제3녹지지하공영주차장,서울특별시 영등포구 영등포로 405,02-2677-1401,,
341,별관청사공영주차장,서울특별시 영등포구 선유동1로 80,02-3667-0333,37.528,126.894
342,신길5동공영주차장,서울특별시 영등포구 신길5동 400-1,02-832-1410,37.502,126.905
343,문래근린공원공영주차장,서울특별시 영등포구 문래동3가 60-2,02-2676-1520,37.515,126.885
344,개운산,서울특별시 성북구 북악산로 949-60,02-6925-0023,37.597,127.024
345,경동고,서울특별시 성북구 보문로29길 49,02-6925-0023,37.586,127.013
346,구청사,서울특별시 성북구 보문로 168 성북구청,02-6925-0023,37.589,127.015
347,길음환승,서울특별시 성북구 동소문로 260,02-6925-0023,37.604,127.024
348,동방고개,서울특별시 성북구 장위로13길 9,02-6925-0023,37.615,127.039
349,마을공원,서울특별시 성북구 돌곶이로32길 43 옆,02-6925-0023,37.617,127.054
350,벤처빌딩,서울특별시 성북구 화랑로 212,02-6925-0023,37.608,127.042
351,장위시장,서울특별시 성북구 장월로8길 36,02-6925-0023,37.611,127.048
352,정릉시장,서울특별시 성북구 정릉로23길 56,02-6925-0023,37.608,127.007
353,화곡본-2,서울특별시 강서구 초록마을로5길 43,02-2607-1570,37.544,126.849
354,화곡2-1,서울특별시 강서구 강서로 18아길 26-15,02-2607-1419,37.536,126.850
355,화곡3-1,서울특별시 강서구 화곡로 15길 40,02-2603-1573,37.542,126.833
356,화곡4-1,서울특별시 강서구 곰달래로 54가길 20,02-2645-1574,37.542,126.826
357,화곡5-1,서울특별시 강서구 강서로 36길 21,02-2604-8688,37.544,126.838
358,화곡5-2,서울특별시 강서구 강서로 34길 41-21,02-2604-8688,37.544,126.839
359,화곡5-3,서울특별시 강서구 화곡로 27가길 38,02-2604-8688,37.543,126.834
360,화곡7-1,서울특별시 강서구 월정로 32길 68,02-2699-8671,37.545,126.835
361,등촌2-1,서울특별시 강서구 등촌로 55길 33-16,02-2645-1578,37.550,126.859
362,화곡6-1,서울특별시 강서구 우장산로 114,02-2607-9113,37.553,126.846
363,볏골공원,서울특별시 강서구 까치산로4길 22,02-2065-1575,37.542,126.842
364,곰달래문화복지센터,서울특별시 강서구 강서로5길 50,02-2690-2818,37.529,126.847
365,가로공원로지하,서울특별시 강서구 가로공원로 189,02-2699-0802,37.538,126.837
366,화곡본-1,서울특별시 강서구 초록마을로 26길 48,02-2065-8751,37.540,126.848
367,화곡1-1,서울특별시 강서구 곰달래로 15길 28,02-2699-3993,37.542,126.835
368,화곡8-1,서울특별시 강서구 초록마을로 22길 57-11,02-2608-1572,37.538,126.847
369,화곡8-2,서울특별시 강서구 초록마을로 126,02-2607-1571,37.538,126.848
370,화곡1동 배다리서길,서울특별시 강서구 강서로5나길 6,02-2607-9113,37.529,126.847
371,화곡1동 달구지길,서울특별시 강서구 월정로28길 14,02-2607-9113,37.533,126.837
372,"화곡2,4,8동 배다리동길",서울특별시 강서구 국회대로 7길 196,02-2607-9113,37.529,126.850
373,화곡6동 방죽길,서울특별시 강서구 공항대로46길 35,02-2607-9113,37.555,126.853
374,화곡6동 신학대길,서울특별시 강서구 화곡로 302,02-2607-9113,37.551,126.850
375,등촌3동 구암길,서울특별시 강서구 공항대로39길 74,02-2607-9113,37.560,126.846
376,등촌3동 꿈나무길,서울특별시 강서구 공항대로 351-21,02-2607-9113,37.560,126.846
377,가양3동 황금내공원길,서울특별시 강서구 허준로 175,02-2607-9113,37.563,126.862
378,수색동 공영주차장,서울특별시 은평구 수색로224,02-350-5189,37.580,126.899
379,응암3동 공영주차장,서울특별시 은평구 불광천길436,02-350-5188,37.594,126.915
380,갈현1동 공영주차장,서울특별시 은평구 갈현로41가길16,02-357-5947,37.626,126.915
381,새장골 공영주차장,서울특별시 은평구 통일로92다길16-23,02-355-5947,37.624,126.924
382,연광초교지하공영주차장,서울특별시 은평구 연서로35길37,02-385-2193,37.624,126.924
383,서신초교지하공영주차장,서울특별시 은평구 은평터널로150,02-375-3822,37.592,126.907
384,매바위공영주차장,서울특별시 은평구 가좌로5길16-1,02-376-6358,37.587,126.921
385,구산동마을공원지하공영주차장,서울특별시 은평구 서오릉로17길,080-330-3600,37.615,126.908
386,은평평화공원지하공영주차장,서울특별시 은평구 서오릉로47,02-350-5183,37.606,126.923
387,연신중학교지하공영주차장,서울특별시 은평구 연서로33길16-32,070-3721-3619,37.623,126.925
388,봉산도시자연공원지하공영주차장,서울특별시 은평구 가좌로11가길38-11,02-350-5171,37.612,126.910
389,봉산도시자연공원내,서울특별시 은평구 증산로5길35-27,02-350-5171,37.612,126.910
390,언주로147길,서울특별시 강남구 언주로  147길 18,1544-3113,37.520,127.033
391,도산대로45길,서울특별시 강남구 도산대로 323,1544-3113,37.523,127.037
392,언주로171길,서울특별시 강남구 언주로 857,1544-3113,37.527,127.033
393,선릉로146길,서울특별시 강남구 선릉로 742,1544-3113,37.521,127.044
394,선릉로132길,서울특별시 강남구 학동로 405,1544-3113,37.518,127.042
395,테헤란로64길,서울특별시 강남구 테헤란로 412,1544-3113,37.505,127.051
396,영동대로85길,서울특별시 강남구 테헤란로 504,1544-3113,37.507,127.057
397,테헤란로26길,서울특별시 강남구 테헤란로 152,1544-3113,37.500,127.037
398,논현로28길,서울특별시 강남구 논현로 30길,1544-3113,37.484,127.044
399,영동대로106길,서울특별시 강남구 영동대로106길33,1544-3113,37.514,127.064
400,영동대로96길,서울특별시 강남구 테헤란로103길10,1544-3113,37.510,127.064
401,남부순환로397길,서울특별시 강남구 남부순환로2921,1544-3113,37.493,127.060
402,대치동507-3,서울특별시 강남구 삼성로 151,1544-3113,37.493,127.063
403,헌릉로745길,서울특별시 강남구 헌릉로745길 37,1544-3113,37.470,127.119
404,은마아파트,서울특별시 강남구 삼성로 212,1544-3113,37.500,127.066
405,압구정로29길,서울특별시 강남구 압구정로29길 51,1544-3113,37.531,127.027
406,대치유수지체육공원,서울특별시 강남구 역삼로107길20-30,1544-3113,37.504,127.068
407,일원동맛의거리,서울특별시 강남구 일원로 9길,1544-3113,37.490,127.085
408,도산대로25길32,서울특별시 강남구 도곡로 421,1544-3113,37.498,127.056
409,도곡로327,서울특별시 강남구 도곡로 327,1544-3113,37.496,127.052
410,도곡로21길7,서울특별시 강남구 도곡로 21길7,1544-3113,37.493,127.039
411,도곡로421,서울특별시 강남구 도곡로 421,1544-3113,37.498,127.056
412,강남치매지원센터,서울특별시 강남구 선릉로 108길 27,1544-3113,37.510,127.046
413,역삼1동문화센터,서울특별시 강남구 역삼로 7길 16,1544-3113,37.495,127.033
414,삼성1동문화센터,서울특별시 강남구 봉은사로 616,1544-3113,37.514,127.063
415,압구정428,서울특별시 강남구 압구정로 161,1544-3113,37.527,127.027
416,역삼문화공원,서울특별시 강남구 테헤란로7길 32,1544-3113,37.503,127.030
417,언북초교,서울특별시 강남구 삼성로 135길 42,1544-3113,37.520,127.045
418,논현로32길15,서울특별시 강남구 논현로 32길15,1544-3113,37.484,127.043
419,대치2동문화센터,서울특별시 강남구 영동대로 65길 24,1544-3113,37.502,127.064
420,논현초교,서울특별시 강남구 강남대로 120길33,1544-3113,37.508,127.026
421,도곡초교,서울특별시 강남구 선릉로 64길 33,1544-3113,37.500,127.054
422,신구초교,서울특별시 강남구 압구정로 18길 28,1544-3113,37.523,127.024
423,구룡산제1호,서울특별시 강남구 양재대로 478 외,1544-3113,37.476,127.067
424,구룡산제2호,서울특별시 강남구 양재대로 478,1544-3113,37.476,127.067
425,포이초교,서울특별시 강남구 개포로22길 87,1544-3113,37.475,127.051
426,논현로22길,서울특별시 강남구 논현로 22길,1544-3113,37.481,127.047
427,개포동공원,서울특별시 강남구 개포로 509,1544-3113,37.490,127.068
428,언주초교,서울특별시 강남구 남부순환로363길19,1544-3113,37.486,127.037
429,개포로24길33,서울특별시 강남구 개포로24길 33,1544-3113,37.477,127.050
430,탄천제2호,서울특별시 강남구 양재대로 55길28,1544-3113,37.493,127.088
431,탄천주차장,서울특별시 강남구 봉은사로114길13,1544-3113,37.514,127.066
432,대청역,서울특별시 강남구 개포로623-1,1544-3113,37.495,127.079
433,일원1동,서울특별시 강남구 양재대로 27길 5,1544-3113,37.490,127.082
434,영희초교,서울특별시 강남구 일원로21,1544-3113,37.492,127.081
435,대왕초교,서울특별시 강남구 헌릉로 618길 8,1544-3113,37.465,127.106
436,구청 부설,서울특별시 강남구 학동로426,1544-3113,37.518,127.047
437,삼성로별관 부설,서울특별시 강남구 삼성로628,1544-3113,37.516,127.052
438,강남대로150길,서울특별시 강남구 도산대로 108,1544-3113,37.516,127.021
439,논현로131길,서울특별시 강남구 학동로171,1544-3113,37.514,127.030
440,테헤란로69길,서울특별시 강남구 테헤란로 69길,1544-3113,37.506,127.053
441,밤고개로21길,서울특별시 강남구 개포로623-1,1544-3113,37.495,127.079
442,여울,서울특별시 양천구 가로공원로 72,02-2620-3736,37.535,126.825
443,문화회관 지하,서울특별시 양천구 목동서로367,02-2620-3736,37.517,126.863
444,다락골,서울특별시 양천구 중앙로29길 41,02-2620-3736,37.516,126.850
445,구름다리,서울특별시 양천구 지양로14길 15,02-2620-3736,37.524,126.833
446,한울,서울특별시 양천구 지양로7길 29,02-2620-3736,37.520,126.832
447,마을마당,서울특별시 양천구 곰달래로3길 13,02-2620-3736,37.531,126.833
448,곰달래,서울특별시 양천구 곰달래로10길 4,02-2620-3736,37.530,126.836
449,가로공원,서울특별시 양천구 가로공원로 133,02-2620-3736,37.537,126.827
450,목동타운홀,서울특별시 양천구 목동동로 345,02-2620-3736,37.533,126.877
451,한두,서울특별시 양천구 목동중앙북로7가길,02-2620-3736,37.549,126.866
452,목3동 해운,서울특별시 양천구 목동중앙남로14가길 39,02-2620-3736,37.542,126.865
453,양천사회단체봉사센터,서울특별시 양천구 목동서로 131,02-2620-3736,37.532,126.875
454,목동,서울특별시 양천구 목동동로 298,02-2620-3736,37.527,126.877
455,공단본부,서울특별시 양천구 목동서로 190,02-2620-3736,37.530,126.872
456,성수역3번출구 앞,서울특별시 성동구 성수이로 (성수2가 315),02-2204-7970,37.543,127.057
457,KT성수분국 앞,서울특별시 성동구 아차산로9길 48,02-2204-7970,37.545,127.061
458,마장축산물시장 남문,서울특별시 성동구 마장로39가길 32 (마장동),02-2204-7970,37.568,127.041
459,마장축산물시장 북문,서울특별시 성동구  (마장동 804)766,02-2204-7970,37.571,127.040
460,마장현대아파트 앞,서울특별시 성동구 마장로35길 76(마장동),02-2204-7970,37.570,127.043
461,장한평자동차시장 가동,서울특별시 성동구 자동차시장1길 (용답동),02-2204-7970,37.561,127.059
462,한전변전소 뒤,서울특별시 성동구 마장로35길 34(마장동),02-2204-7970,37.568,127.038
463,마장주민센터앞,서울특별시 성동구 마장로42길 6(마장동),02-2204-7970,37.566,127.046
464,거주자우선주차 05-05,서울특별시 성동구 마조로1길 22-1(행당동),02-2204-7970,37.559,127.039
465,마장동대형버스(버스),서울특별시 성동구 마장로33길 79 (마장동),02-2204-7970,37.566,127.045
466,(지정)강변,서울특별시 성동구 둘레길 47-5(성수동1가),02-2204-7970,37.537,127.049
467,금호초등학교(건물),서울특별시 성동구 무수막길 69(금호동2가),02-2204-7970,37.552,127.019
468,성수2가1동(건물),서울특별시 성동구 성덕정길 115(성수동2가),02-2204-7970,37.537,127.056
469,송정동 (건물),서울특별시 성동구 동일로 199(송정동),02-2204-7970,37.550,127.068
470,하왕십리(건물),서울특별시 성동구 무학봉길 48(행당동 347-3)1,02-2204-7970,37.561,127.028
471,성수2가3동(건물),서울특별시 성동구 광나루로4가길 23(성수동2가),02-2204-7970,37.549,127.055
472,응봉동(건물),서울특별시 성동구 독서당로63길 40(행당동),02-2204-7970,37.553,127.031
473,용답동(건물),서울특별시 성동구 용답29길 22(용답동),02-2204-7970,37.564,127.054
474,살곶이 공영주차장,서울특별시 성동구 사근동 104서울특별시 성동구 사근동 104,02-2204-7970,37.554,127.047
475,응봉동(평면),서울특별시 성동구 독서당로63길 40(행당동),02-2204-7970,37.551,127.035
476,도선동,서울특별시 성동구 무학로8길 8(홍익동),02-2204-7970,37.566,127.032
477,홍익동(건물),서울특별시 성동구 무학로10길 28(홍익동),02-2204-7970,37.566,127.034
478,강변(건물),서울특별시 성동구 둘레길 47-5(성수동1가),02-2204-7970,37.537,127.049
479,마장동(건물),서울특별시 성동구 청계천로10나길 38(마장동),02-2204-7970,37.570,127.035
480,성수1가2동(평면),서울특별시 성동구 상원10길 21(성수동1가),02-2204-7965,37.550,127.050
481,마장동축산물시장(평면),서울특별시 성동구 마장동 525,02-2204-7970,37.572,127.040
482,용답제2공영주차장,서울특별시 성동구 천호대로78길 9(용답동),02-2204-7970,37.563,127.056
483,마장동축산물 서문,서울특별시 성동구 고산자로26길 6(마장동),02-2204-7970,37.571,127.039
484,성수1가1동(건물),서울특별시 성동구 성덕정1길 6(성수동1가),02-2204-7970,37.540,127.046
485,비봉,서울특별시 종로구 구기동139-9,,37.612,126.957
486,명광교회옆,서울특별시 종로구 성균관로 45,,37.587,126.997
487,서인사마당,서울특별시 종로구 인사동11길 19,,37.574,126.984
488,시민열린마당뒤,서울특별시 종로구 종로1길 55,,37.575,126.979
489,세운상가밑,서울특별시 종로구 장사동 116-3,,,
490,삼청공원앞,서울특별시 종로구 삼청동 25-1,,37.588,126.983
491,원서공원앞,서울특별시 종로구 원서동 206,,37.578,126.988
492,종각뒤,서울특별시 종로구 종로16길 24,,37.569,126.989
493,광화문빌딩옆,서울특별시 종로구 당주동 145,,37.571,126.974
494,종로3가역뒤,서울특별시 종로구 봉익동 36,,,
495,태화관앞,서울특별시 종로구 인사동 194-39,,37.572,126.985
496,평창동,서울특별시 종로구 평창동 114-3 인근,,37.611,126.977
497,평창동 460-3,서울특별시 종로구 평창동 460-3,,37.611,126.975
498,서울교통공사 사당 부설 주차장,서울특별시 서초구 효령로 5(방배동),02-6110-5366,37.476,126.986
499,서울교통공사 인재개발원 부설 주차장,서울특별시 성동구 천호대로 78길 15-48(용답동),02-6110-8012,37.562,127.057
500,삼풍상가 공영주차장,서울특별시 중구 을지로20길,,37.552,127.005
501,한국은행뒤 공영주차장,서울특별시 중구 남대문로5길,,37.564,126.992
502,다동쉼터 공영주차장,서울특별시 중구 다동길,,37.565,127.017
503,해운센터앞 공영주차장,서울특별시 중구 소공로,,37.550,127.005
504,뉴국제호텔앞 공영주차장,서울특별시 중구 세종대로22길,,37.552,127.013
505,이화여고앞 공영주차장,서울특별시 중구 통일로4길,,37.565,126.970
506,국제화재빌딩옆 공영주차장,서울특별시 중구 소월로,,37.557,126.996
507,대림상가 공영주차장,서울특별시 중구 을지로19길,,37.554,127.009
508,청소년회관뒤 공영주차장,서울특별시 중구 충무로9길,,37.559,127.013
509,진양상가옆 공영주차장,서울특별시 중구 퇴계로41길,,37.549,127.006
510,한진면세점앞 공영주차장,서울특별시 중구 소월로,,37.562,126.974
511,남대문피혁상가남측 공영주차장,서울특별시 중구 세종대로5길,,37.565,127.021
512,코오롱빌딩옆 공영주차장,서울특별시 중구 세종대로20길,,37.560,127.001
513,그린빌딩옆 공영주차장,서울특별시 중구 소월로,,37.555,126.965
514,한국관광공사옆 공영주차장,서울특별시 중구 남대문로,02-2280-8360,37.568,126.980
515,맑은내길 공영주차장,서울특별시 중구 마장로1길,,37.556,127.016
516,남평화시장앞 공영주차장,서울특별시 중구 마장로1길,,37.559,126.986
517,조선호텔앞 공영주차장,서울특별시 중구 남대문로7길,,35.562,127.015
518,청계8가 공영주차장,서울특별시 중구 청계천로,02-2280-8360,37.560,127.012
519,서소문올리브타워옆 공영주차장,서울특별시 중구 세종대로9길 41,,37.564,127.000
520,훈련원공원옆 공영주차장,서울특별시 중구 을지로39길,,37.552,127.004
521,국립의료원옆 공영주차장,서울특별시 중구 을지로 41,,37.567,127.018
522,진양상가 인공도로 공영주차장,서울특별시 중구 퇴계로41길 신성상가 서측 인공도로,02-2280-8360,37.568,127.006
523,충현 공영주차장,서울특별시 중구 동호로11나길 47,02-2280-8360,37.560,126.966
524,충현어린이공원 공영주차장,서울특별시 중구 동호로11나길 47,02-2280-8360,37.565,127.023
525,초동 공영주차장,서울특별시 중구 마른내로 38,02-2280-8360,37.566,126.976
526,신당사거리 공영주차장,서울특별시 중구 퇴계로 408,02-2280-8360,37.565,126.996
527,성곽 공영주차장,서울특별시 중구 동호로17길 201,02-2280-8360,37.562,126.979
528,약수동 공영주차장,서울특별시 중구 동호로8다길 22,02-2280-8360,37.568,126.980
529,문화 공영주차장,서울특별시 중구 동호로12길 29,02-2280-8360,37.563,126.981
530,필동 공영주차장,서울특별시 중구 필동로 55,02-2280-8360,37.568,126.978
531,다산동 공영주차장,서울특별시 중구 동호로15길 60,02-2280-8360,37.565,126.970
532,청구 공영주차장,서울특별시 중구 다산로 174,02-2280-8360,37.558,126.976
533,버티 공영주차장,서울특별시 중구 동호로17길 270,02-2280-8360,37.568,126.996
534,서소문삼성생명뒤 공영주차장,서울특별시 중구 서소문로12길,02-2280-8360,37.567,126.990
535,신당역 공영주차장,서울특별시 중구 다산로44길 67,02-2280-8360,37.564,126.997
536,장충 공영주차장,서울특별시 중구 퇴계로50길 59,02-2280-8360,37.556,126.975
537,손기정체육공원 공영주차장,서울특별시 중구 손기정로 101,02-2280-8360,37.559,126.972
538,다동공원 공영주차장,서울특별시 중구 을지로1길 48,02-2280-8360,37.568,126.978
539,동산 공영주차장,서울특별시 중구 다산로24가길 23,02-2280-8360,37.557,126.976
540,남산동 공영주차장,서울특별시 중구 퇴계로20길 24,02-2280-8360,37.568,126.981
541,새싹마을 공영주차장,서울특별시 중구 동호로12길 97,02-2280-8360,37.569,127.011
542,묵정공원지하 공영주차장,서울특별시 중구 퇴계로45길 32-12,02-2280-8360,37.564,126.980
543,다산아트 공영주차장,서울특별시 중구 동호로17길 173,02-2280-8360,37.567,127.017
544,황학어린이공원 공영주차장,서울특별시 중구 다산로48길 33,02-2280-8360,37.561,126.973
545,중구구민회관 부설주차장,서울특별시 중구 을지로39길 40,02-2280-8360,37.568,127.005
546,중림종합복지센터 부설주차장,서울특별시 중구 서소문로6길 16,02-2280-8360,37.568,126.994
547,중구종합복지센터,서울특별시 중구 퇴계로 460,02-2280-8360,37.564,126.996
548,중구구민회관 부설주차장,서울특별시 중구 을지로39길 40,02-2265-7765,37.569,127.006
549,영국대사관옆 공영주차장,서울특별시 중구 세종대로19길,02-2280-8360,37.566,126.976
550,삼풍상가 공영주차장,서울특별시 중구 을지로20길,02-2280-8360,37.565,126.996
551,한국은행뒤 공영주차장,서울특별시 중구 남대문로5길,02-2280-8360,37.562,126.979
552,다동쉼터 공영주차장,서울특별시 중구 다동길,02-2280-8360,37.568,126.980
553,해운센터앞 공영주차장,서울특별시 중구 소공로,02-2280-8360,37.563,126.981
554,뉴국제호텔앞 공영주차장,서울특별시 중구 세종대로22길,02-2280-8360,37.568,126.978
555,이화여고앞 공영주차장,서울특별시 중구 통일로4길,02-2280-8360,37.565,126.968
556,국제화재빌딩옆 공영주차장,서울특별시 중구 소월로,02-2280-8360,37.558,126.976
557,대림상가 공영주차장,서울특별시 중구 을지로19길,02-2280-8360,37.568,126.996
558,연세세브란스빌딩뒤 공영주차장,서울특별시 중구 세종대로2길,02-2280-8360,37.558,126.974
559,청소년회관뒤 공영주차장,서울특별시 중구 충무로9길,02-2280-8360,37.567,126.990
560,진양상가옆 공영주차장,서울특별시 중구 퇴계로41길,02-2280-8360,37.563,126.996
561,한진면세점앞 공영주차장,서울특별시 중구 소월로,02-2280-8360,37.556,126.975
562,남대문피혁상가남측 공영주차장,서울특별시 중구 세종대로5길,02-2280-8360,37.559,126.973
563,코오롱빌딩옆 공영주차장,서울특별시 중구 세종대로20길,02-2280-8360,37.568,126.978
564,그린빌딩옆 공영주차장,서울특별시 중구 소월로,02-2280-8360,37.557,126.976
565,한국관광공사옆 공영주차장,서울특별시 중구 남대문로,02-2280-8360,37.568,126.982
566,맑은내길 공영주차장,서울특별시 중구 마장로1길,02-2280-8360,37.569,127.012
567,남평화시장앞 공영주차장,서울특별시 중구 마장로1길,02-2280-8360,37.569,127.011
568,조선호텔앞 공영주차장,서울특별시 중구 남대문로7길,02-2280-8360,37.564,126.980
569,서소문올리브타워옆 공영주차장,서울특별시 중구 세종대로9길 41,02-2280-8360,37.562,126.973
570,훈련원공원옆 공영주차장,서울특별시 중구 을지로39길,02-2280-8360,37.568,127.005
571,국립의료원옆 공영주차장,서울특별시 중구 을지로 41,02-2280-8360,37.567,127.006
572,진양상가 인공도로 공영주차장,서울특별시 중구 퇴계로41길 신성상가 서측 인공도로,02-2280-8360,37.564,126.996
573,충현 공영주차장,서울특별시 중구 동호로11나길 47,02-2280-8360,37.552,127.006
574,충현어린이공원 공영주차장,서울특별시 중구 동호로11나길 47,02-2280-8360,37.552,127.005
575,초동 공영주차장,서울특별시 중구 마른내로 38,02-2261-0162,37.564,126.992
576,신당사거리 공영주차장,서울특별시 중구 퇴계로 408,02-2231-0445,37.565,127.017
577,성곽 공영주차장,서울특별시 중구 동호로17길 201,02-2252-3369,37.551,127.005
578,약수동 공영주차장,서울특별시 중구 동호로8다길 22,02-2280-8360,37.552,127.013
579,문화 공영주차장,서울특별시 중구 동호로12길 29,02-2252-5314,37.557,127.011
580,필동 공영주차장,서울특별시 중구 필동로 55,02-2280-8360,37.557,126.996
581,다산동 공영주차장,서울특별시 중구 동호로15길 60,02-2238-3379,37.554,127.009
582,청구 공영주차장,서울특별시 중구 다산로 174,02-2234-9773,37.559,127.013
583,버티 공영주차장,서울특별시 중구 동호로17길 270,02-2234-9747,37.549,127.006
584,서소문삼성생명뒤 공영주차장,서울특별시 중구 서소문로12길,02-310-9588,37.562,126.974
585,신당역 공영주차장,서울특별시 중구 다산로44길 67,02-2238-7004,37.565,127.021
586,장충 공영주차장,서울특별시 중구 퇴계로50길 59,02-2277-7004,37.560,127.001
587,손기정체육공원 공영주차장,서울특별시 중구 손기정로 101,02-364-7003,37.556,126.965
588,다동공원 제4 공영주차장,서울특별시 중구 을지로1길 48,02-756-7008,37.568,126.980
589,동산 공영주차장,서울특별시 중구 다산로24가길 23,02-2280-8360,37.556,127.016
590,남산동 공영주차장,서울특별시 중구 퇴계로20길 24,02-755-7004,37.559,126.986
591,신당동 공영주차장,서울특별시 중구 청구로8길 40,02-2235-7003,37.562,127.014
592,새싹마을 공영주차장,서울특별시 중구 동호로12길 97,02-2280-8360,37.560,127.012
593,묵정공원지하 공영주차장,서울특별시 중구 퇴계로45길 32-12,02-2280-8370,37.564,127.000
594,다산아트 공영주차장,서울특별시 중구 동호로17길 173,02-2231-4584,37.552,127.004
595,황학어린이공원 공영주차장,서울특별시 중구 다산로48길 33,02-2256-7004,37.568,127.018
596,묵중안,서울특별시 중랑구 봉화산로 31,02-438-7208,37.602,127.078
597,나들목,서울특별시 중랑구 중랑역로 71,02-438-7208,37.600,127.078
598,동부갯,서울특별시 중랑구 용마산로 117길,02-438-7208,37.600,127.099
599,매화,서울특별시 중랑구 봉우재로 49길9,02-438-7208,37.594,127.092
600,주막거리,서울특별시 중랑구 망우로 36길,02-438-7208,37.594,127.079
601,맛솜씨,서울특별시 중랑구 용마산로 115길,02-438-7208,37.598,127.097
602,우림시장,서울특별시 중랑구 망우로62길,02-438-7208,37.597,127.098
603,중화1동,서울특별시 중랑구 동일로136나길14,02-438-7489,37.603,127.082
604,동원시장,서울특별시 중랑구 상봉로11길,02-2209-0220,37.590,127.092
605,상봉2동,서울특별시 중랑구 면목로85길38,070-8832-1299,37.593,127.084
606,면목5동,서울특별시 중랑구 동일로 594,02-432-4174,37.583,127.080
607,중곡초교,서울특별시 중랑구 면목로27길,02-432-9775,37.575,127.083
608,은행나무,서울특별시 중랑구 겸재로54가길4,02-439-2861,37.587,127.092
609,늘봄,서울특별시 중랑구 겸재로64길9,02-437-1987,37.590,127.096
610,면일초교,서울특별시 중랑구 용마산길100길13,02-432-0708,37.592,127.099
611,까치공원,서울특별시 중랑구 사가정로49길56,02-436-6070,37.584,127.087
612,중랑초교,서울특별시 중랑구 동일로10길 26,02-496-7604,37.589,127.076
613,용마폭포,서울특별시 중랑구 용마산로250-12,02-491-4831,37.573,127.089
614,봉수대,서울특별시 중랑구 봉화산로 45길,02-438-8271,37.607,127.093
615,면목2동,서울특별시 중랑구 겸재로23길27,02-438-7208,37.588,127.081
616,금란,서울특별시 중랑구 망우로448,02-496-9781,37.600,127.102
617,가산동,서울특별시 금천구 시흥대로 153길 53,02-2627-1732,37.469,126.904
618,독산1동,서울특별시 금천구 범안로 12가길 65,02-2627-1732,37.468,126.898
619,독산2동,서울특별시 금천구 시흥대로 98길 36,02-2627-1732,37.443,126.906
620,독산3동,서울특별시 금천구 독산로 108길 44,02-2627-1732,37.455,126.909
